Id,Label,Modularity_Class,Pageranks,Filter,Level1,Liste2,25nisan,X,Y,Size,Color
53703380944,,17,1.4E-05,false,,,,0.295439,0.581011,0.000738,#ffedad
,,,,,,,,,,,
5555458156,,17,1.7E-05,false,,,,0.263514,0.621456,0.00422,#ffedad
,,,,,,,,,,,
56797655127,,17,1.4E-05,false,,,,0.235745,0.569618,0.000741,#ffedad
,,,,,,,,,,,
32734478850,,21,1.4E-05,false,,,,0.610389,0.746068,0.001219,#d8cefc
,,,,,,,,,,,
237401551,,19,1.4E-05,false,,,,0.293283,0.660782,0.000928,#ffd3ff
,,,,,,,,,,,
2024096954,,17,1.5E-05,false,,,,0.366228,0.548893,0.002489,#ffedad
,,,,,,,,,,,
28499265258,,44,1.4E-05,false,,,,0.293761,0.501769,0.000514,#77dde3
,,,,,,,,,,,
1009619036,tahsinkucukofficial,27,1.9E-05,true,,,,0.396792,0.671385,0.006044,#e69cbb
,,,,,,,,,,,
7481348,,5,1.5E-05,false,,,,0.61167,0.659988,0.001666,#b9b0aa
,,,,,,,,,,,
7367685863,,17,1.7E-05,false,,,,0.288539,0.693824,0.00414,#ffedad
,,,,,,,,,,,
1718851789,,34,1.4E-05,false,,,,0.286122,0.612487,0.001191,#ff9891
,,,,,,,,,,,
25228481118,,19,1.4E-05,false,,,,0.273564,0.71915,0.000752,#ffd3ff
,,,,,,,,,,,
7730820132,,17,1.3E-05,false,,,,0.285679,0.671235,0.000258,#ffedad
,,,,,,,,,,,
52746109277,,19,1.6E-05,false,,,,0.293875,0.707206,0.002959,#ffd3ff
,,,,,,,,,,,
48727309171,,34,1.4E-05,false,,,,0.260611,0.621053,0.001172,#ff9891
,,,,,,,,,,,
57454778129,,26,1.3E-05,false,,,,0.296723,0.730289,0.00028,#a4bec0
,,,,,,,,,,,
9057180587,,41,1.4E-05,false,,,,0.390244,0.427895,0.001184,#7ab992
,,,,,,,,,,,
44072443589,,27,1.4E-05,false,,,,0.342379,0.641796,0.000648,#e69cbb
,,,,,,,,,,,
1461903123,,5,1.4E-05,false,,,,0.404142,0.65689,0.001074,#b9b0aa
,,,,,,,,,,,
2528182267,,34,1.7E-05,false,,,,0.309743,0.552338,0.004035,#ff9891
,,,,,,,,,,,
58583855768,,19,1.3E-05,false,,,,0.41634,0.717615,0.000247,#ffd3ff
,,,,,,,,,,,
51407687250,,19,1.7E-05,false,,,,0.387295,0.772561,0.004419,#ffd3ff
,,,,,,,,,,,
48748472615,,11,1.5E-05,false,,,,0.284712,0.591428,0.001625,#ffe9f4
,,,,,,,,,,,
13854732207,,27,1.7E-05,false,,,,0.352513,0.550899,0.004256,#e69cbb
,,,,,,,,,,,
1084563387,gencerseriofficial,17,1.9E-05,true,,,,0.369319,0.623497,0.0063,#ffedad
,,,,,,,,,,,
5926164340,,34,1.6E-05,false,,,,0.284029,0.615721,0.003176,#ff9891
,,,,,,,,,,,
487426051,mayisdort,48,1.9E-05,true,,,,0.365037,0.627925,0.006679,#6de8d8
,,,,,,,,,,,
55632526073,,34,1.4E-05,false,,,,0.265468,0.57081,0.000929,#ff9891
,,,,,,,,,,,
51500441983,,34,1.5E-05,false,,,,0.286191,0.604765,0.002569,#ff9891
,,,,,,,,,,,
8400954068,evdekor.dunyasi,22,1.8E-05,true,,,,0.408548,0.544864,0.005452,#d2fae1
,,,,,,,,,,,
57289042887,,28,1.4E-05,false,,,,0.35781,0.486993,0.000597,#ffec75
,,,,,,,,,,,
1761293120,,34,1.5E-05,false,,,,0.34108,0.49221,0.002436,#ff9891
,,,,,,,,,,,
13205997081,,28,1.4E-05,false,,,,0.367928,0.62751,0.00137,#ffec75
,,,,,,,,,,,
17078768223,dizaynnoloji,19,3.3E-05,true,,,,0.475827,0.686204,0.021618,#ffd3ff
,,,,,,,,,,,
57323007847,,28,1.8E-05,false,,,,0.378253,0.479898,0.004771,#ffec75
,,,,,,,,,,,
13041551,,5,1.6E-05,false,,,,0.441177,0.566815,0.003189,#b9b0aa
,,,,,,,,,,,
51608072765,,42,1.4E-05,false,,,,0.260044,0.704249,0.000732,#ffca71
,,,,,,,,,,,
51889494648,,34,1.7E-05,false,,,,0.280237,0.580468,0.004039,#ff9891
,,,,,,,,,,,
3536748657,adilyildirimyazar,5,1.8E-05,true,,,,0.44026,0.658325,0.005177,#b9b0aa
,,,,,,,,,,,
1183441507,,45,1.5E-05,false,,,,0.49316,0.608585,0.001576,#5ecbaf
,,,,,,,,,,,
56283484513,,27,1.4E-05,false,,,,0.355803,0.567936,0.001118,#e69cbb
,,,,,,,,,,,
48896534472,,27,1.4E-05,false,,,,0.338596,0.659497,0.000578,#e69cbb
,,,,,,,,,,,
56804767086,,17,1.4E-05,false,,,,0.346118,0.504339,0.000726,#ffedad
,,,,,,,,,,,
4852521143,,17,1.4E-05,false,,,,0.331889,0.553039,0.001498,#ffedad
,,,,,,,,,,,
18028723933,,17,1.4E-05,false,,,,0.265397,0.595689,0.000752,#ffedad
,,,,,,,,,,,
48409811238,,17,1.4E-05,false,,,,0.340046,0.624862,0.000629,#ffedad
,,,,,,,,,,,
48310395972,,17,1.5E-05,false,,,,0.329063,0.650501,0.00247,#ffedad
,,,,,,,,,,,
48064675546,,17,1.4E-05,false,,,,0.412679,0.63831,0.000849,#ffedad
,,,,,,,,,,,
353138809,kadinlarin_kulubu,19,1.9E-05,true,,,,0.38255,0.709477,0.006137,#ffd3ff
,,,,,,,,,,,
47375368660,,3,1.3E-05,false,,,,0.329432,0.754648,0.000153,#b1ae72
,,,,,,,,,,,
45656419047,,33,1.5E-05,false,,,,0.312067,0.660476,0.001792,#cdaf66
,,,,,,,,,,,
1201308988,,19,1.7E-05,false,,,,0.341235,0.719972,0.004571,#ffd3ff
,,,,,,,,,,,
15277816833,,34,1.5E-05,false,,,,0.243092,0.613957,0.002439,#ff9891
,,,,,,,,,,,
